user_id_str|status_id|created_at|screen_name|text|status_url|lat|long|place_full_name|revisado2350666836|1458922122978504714|Thu Nov 11 22:18:34 +0000 2021|delpropiomonton|informadorveraz trabajar l echar bola camarada desfachatez ser robo|na|na|na|na|no
210524790|1458922231912968205|Thu Nov 11 22:19:00 +0000 2021|salcedosaloptic|ahi tener titular ojo|na|na|na|na|no
42694927|1458922233527779329|Thu Nov 11 22:19:00 +0000 2021|shasta_1183|mijp vzla enterate tambien disposicion poblacion total puesto medico avanzado emergencia atender cualquiera eventualidad manera opo eficaz navidadesseguras|na|na|na|na|no
1175409048650473473|1458922237004763142|Thu Nov 11 22:19:01 +0000 2021|VPmmad|gran hilo intervencion quique villalobos presidente fravm poner contexto tema terraza fundamental terraza ser verano covid ampliacin diciembre ir hilo|na|na|na|na|no
1451735461|1458922256038608896|Thu Nov 11 22:19:05 +0000 2021|PresaLuis|l tirar l mue covid no parecer buen idea lanocheh|na|na|na|na|no
2565372073|1458922266658541568|Thu Nov 11 22:19:08 +0000 2021|GADMPedernales|alcantarillado sanitario tener longitud metro calle juanpereira conectar estacion bombeo laspalmitas colector alterno ayudar prevenir rebos malecon pedernales fo alecer sector turistico trabajamosjuntoati|na|-79.8648665|0.06826899999999998|Pedernales, Ecuador|no
1170333776|1458922285323075603|Thu Nov 11 22:19:12 +0000 2021|elciudadanojal|covid temporada invernal ser impo redoblar medida proteccion evitar posible rebrote contagio coronaviru aqui t contar mas|na|na|na|na|no
222988752|1458922288556949504|Thu Nov 11 22:19:13 +0000 2021|PabloHidalgoEC|buscar opinion acuerdo vacunar nio ao covid covid vacunacovid|na|-79.8648665|0.06826899999999998|Pedernales, Ecuador|no
796958208|1458922289102303235|Thu Nov 11 22:19:13 +0000 2021|YessUrbina|realmente esperar ingresovital alguno mil reserva discutir pef pobreza aumento l tener garantizar condicin minimo seguir vivir alimento ser esencial ser propuesta|na|na|na|na|no
2798252624|1458922291090309126|Thu Nov 11 22:19:14 +0000 2021|JuanoPei|covid haber recibir contundente golpe no l recuperar jama|na|na|na|na|no
1274921697141981190|1458922294919647232|Thu Nov 11 22:19:15 +0000 2021|ZurdoCritico|pucha fallecer conocido infancia ao covid hermano contar q tener vacuna l suponer q ser sano haber cuidar l compae|na|na|na|na|no
986887852452667393|1458922295154597892|Thu Nov 11 22:19:15 +0000 2021|AnchovyofWS|tener idea ir cuanto dia navidad pregunta ser asunto covid pedir entrar pais entrar restaurante bar etctera|na|na|na|na|no
1249824915768909824|1458922295272030208|Thu Nov 11 22:19:15 +0000 2021|LuisCar71418478|cada cuatro hospitalizado covid galicia dia hoy no vacunado tres cada cuatro hospitalizado covid galicia dia hoy vacunado via|na|na|na|na|no
791797391825342464|1458922296165425156|Thu Nov 11 22:19:15 +0000 2021|Efecto_Ezpiral|detectar dengue activo rezago vacuna covid indigena cuexcomatitlan|na|na|na|na|no
2792557771|1458922296396206088|Thu Nov 11 22:19:15 +0000 2021|eldestapeweb|cfkargentina sergiomassa recuperar caida provocar pandemia todavia faltar recorrer camino recuperacion derrumbe fracaso gobierno macri sergiomassa|na|na|na|na|no
901567260954951682|1458922297138552843|Thu Nov 11 22:19:15 +0000 2021|Andresolos10|zerolynxplayer eslmasters problemas descarga sitio web no oficial robo informacion ataque phishing troyano pc|na|na|na|na|no
65463088|1458922304465891328|Thu Nov 11 22:19:17 +0000 2021|Ambitocom|ahora acto cierre campaa frente hablar sergiomass saber ser consciente segundo derrumbe ser pandemia poner tarea tener evitar dolor todavia faltar recorrer camino recuperacion|na|na|na|na|no
1163965647992381440|1458922308152737794|Thu Nov 11 22:19:18 +0000 2021|clip_salud|ser confirmado nuevo caso covid mue|na|na|na|na|no
131560752|1458922310015066122|Thu Nov 11 22:19:18 +0000 2021|Anncm__|tutora parecer tener covid ahora cagda|na|na|na|na|no
912430076247121920|1458922310392586243|Thu Nov 11 22:19:18 +0000 2021|CanalVerte|querer calesita volver girar diciembre tino spitale llevar adelante negocio junto familia despue impasse pandemia decidir renovar l completamente hoy l hacer mas valor sentimental|na|na|na|na|no
211344774|1458922311684435982|Thu Nov 11 22:19:19 +0000 2021|Nexofin|sergio massa recuperar caida provocar pandemia todavia quedar recuperar derrumbe gobierno macri|na|na|na|na|no
3900726801|1458922312384847881|Thu Nov 11 22:19:19 +0000 2021|LaUltima_Ec|charapoto museo japoto ser realidad santa teresa parroquia charapoto mediante convenio fides alcaldia canton sucre habitacin comunidad l ejecutar construccion museo in situ japoto|na|-80.297905|-0.9989025|Portoviejo, Ecuador|no
1396875889942667269|1458922318504214549|Thu Nov 11 22:19:20 +0000 2021|yaniarelli|preguntar si anatel ser arcaico no haber tomar medida caso candidato covid fecha debate simplemente no querer hacer parisi pa icipar parisiendebateanatel|na|na|na|na|no
344858102|1458922321352314882|Thu Nov 11 22:19:21 +0000 2021|MONTANISOL|acabar publicar foto hotel oro verde manta|na|-80.87048949999999|-1.109478|Manta, Ecuador|no
1397367163|1458922326221733898|Thu Nov 11 22:19:22 +0000 2021|jhonatanburgues|numero persona seguro desempleo ser menor pre pandemia contalar querer|na|na|na|na|no
144996787|1458922327241076737|Thu Nov 11 22:19:22 +0000 2021|patri_2202|lleno gente centro comercial discoteca restaurante parque bar satanizar unicamente escuela dios ladillar|na|na|na|na|no
153282607|1458922333121429507|Thu Nov 11 22:19:24 +0000 2021|dontomini|si pendiente ao no haber pista hielo patinar zocalo ince idumbre plantear pandemia no haber tiempo planear l haber verbena navideo mientras no faltar ponche|na|na|na|na|no
1612763167|1458922340373442564|Thu Nov 11 22:19:26 +0000 2021|AnimaLectura|biblioteca bibliotecario bibliotecabs compilacion historia nia nio pandemia aqui|na|na|na|na|no
